"","tinh","huyen","year","W_mean_WI","non_w_mean_WI","n"
"485",14,120,2014,2.65715337290357,2.67752750180753,5
"486",14,120,2016,2.66975097275707,2.73244766974016,5
"487",14,120,2018,NA,2.16377670668295,5
"488",14,121,2010,2.37532209017693,2.4056836547626,5
"489",14,121,2012,2.40144640916019,2.56446869722217,5
"490",14,121,2014,2.29141133928213,2.37766895465951,5
"491",14,121,2016,1.93317001980373,2.08615008223827,5
"492",14,121,2018,NA,2.49726643001666,5
"493",14,122,2010,2.32685029569728,2.36644140157533,5
"494",14,122,2012,2.15296950470966,2.20697614708602,5
"495",14,122,2014,2.47416109395397,2.4547977508528,5
"496",14,122,2016,3.09075434917152,3.09847912974933,5
"497",14,122,2018,NA,2.0540924790016,5
"498",14,123,2010,2.38188118849782,2.39993241132046,5
"499",14,123,2012,2.99545166352336,3.06196661683904,5
"500",14,123,2014,3.40051915346911,3.36574063778105,5
"501",14,123,2016,3.00824712510678,3.31798299117082,5
"502",14,123,2018,NA,2.85901494756607,5
"503",14,124,2010,2.29447603993764,2.28174084644133,5
"504",14,124,2012,2.12067223952167,2.12423461852032,5
"505",14,124,2014,1.94579649232889,1.91465926793754,5
"506",14,124,2016,1.27171612905922,1.33178808902519,5
"507",14,124,2018,NA,1.98335841813301,5
"508",14,125,2010,2.89947657667135,2.90264318664226,5
"509",14,125,2012,2.68044392706074,2.77522410551521,5
"510",14,125,2014,2.98262493086901,3.03229496872987,5
"511",14,125,2016,3.24831592698979,3.30257685011574,5
"512",14,125,2018,NA,2.55112250549423,5
